prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
22	E. coli	stool	1401	1411	1661	0	0	0	0	2	0	32	100
22	E. coli	blood	1401	1411	1661	1	0	0	0	0	0	59	337
22	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	1
33	E. coli	respiratory	1401	1411	1661	0	1	0	1	25	0	496	2103
33	E. coli	urine	1401	1411	1661	4	0	0	0	31	1	1355	7556
33	E. coli	stool	1401	1411	1661	2	0	0	0	13	1	209	1125
33	E. coli	blood	1401	1411	1661	0	0	0	1	0	0	195	1303
33	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	4
13	E. coli	respiratory	1401	1411	1661	0	0	0	0	5	2	221	946
13	E. coli	urine	1401	1411	1661	1	0	0	2	14	0	1044	4854
13	E. coli	stool	1401	1411	1661	1	0	1	1	1	0	46	224
13	E. coli	blood	1401	1411	1661	0	0	0	1	4	0	177	809
13	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	4
28	E. coli	respiratory	1401	1411	1661	0	0	0	0	4	0	47	186
28	E. coli	urine	1401	1411	1661	3	0	0	0	17	0	135	938
28	E. coli	stool	1401	1411	1661	1	0	0	0	4	0	10	57
28	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	20	125
28	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
44	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	26	195
44	E. coli	urine	1401	1411	1661	0	0	0	1	2	0	113	859
44	E. coli	stool	1401	1411	1661	1	0	0	0	0	0	41	96
44	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	10	121
44	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
42	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	46	182
42	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	110	767
42	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	3	19
42	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	9	93
42	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
37	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	26	287
37	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	143	1027
37	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	8	116
37	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	20	189
37	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	1
31	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	130	549
31	E. coli	urine	1401	1411	1661	0	0	0	1	1	0	395	1905
31	E. coli	stool	1401	1411	1661	0	0	0	0	7	0	146	529
31	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	34	301
31	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	2
11	E. coli	respiratory	1401	1411	1661	1	0	0	0	1	0	99	503
11	E. coli	urine	1401	1411	1661	1	0	0	1	9	0	382	2564
11	E. coli	stool	1401	1411	1661	1	0	0	0	0	0	42	254
11	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	43	378
11	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	2
46	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	86	703
46	E. coli	urine	1401	1411	1661	0	0	0	0	1	0	322	2107
46	E. coli	stool	1401	1411	1661	1	0	0	1	0	0	70	413
46	E. coli	blood	1401	1411	1661	1	0	0	0	0	0	32	219
46	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	2
40	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	33	273
40	E. coli	urine	1401	1411	1661	0	0	0	1	0	0	51	569
40	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	7	280
40	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	12	90
40	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	1
17	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	70	398
17	E. coli	urine	1401	1411	1661	0	0	0	1	1	0	171	1249
17	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	56	609
17	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	20	195
17	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	1
5	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	60	327
5	E. coli	urine	1401	1411	1661	0	0	0	1	0	0	143	890
5	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	19	204
5	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	20	190
5	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
20	E. coli	respiratory	1401	1411	1661	0	0	0	0	2	0	17	220
20	E. coli	urine	1401	1411	1661	0	0	0	0	2	0	66	854
20	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	12	177
20	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	10	105
20	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	1
7	E. coli	respiratory	1401	1411	1661	0	0	0	0	1	0	505	1746
7	E. coli	urine	1401	1411	1661	0	0	0	0	1	0	1071	5031
7	E. coli	stool	1401	1411	1661	2	0	2	1	4	0	342	1452
7	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	110	694
7	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	1	4
34	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	42	221
34	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	82	630
34	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	40	231
34	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	7	66
34	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
27	E. coli	respiratory	1401	1411	1661	1	0	0	0	0	0	94	287
27	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	273	1120
27	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	42	145
27	E. coli	blood	1401	1411	1661	0	0	1	0	0	0	39	236
27	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
21	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	88	374
21	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	303	1872
21	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	39	208
21	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	32	245
21	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
30	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	68	364
30	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	223	952
30	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	4	86
30	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	20	112
30	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
25	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	27	155
25	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	63	679
25	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	8	76
25	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	11	74
25	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
18	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	48	299
18	E. coli	urine	1401	1411	1661	0	0	0	1	0	0	121	983
18	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	15	189
18	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	34	197
