prefecture	species	specimen_type	drug1	drug2	SS	II	RR	XX_others	SR	RS	XY_others	within_drug1group_diff	within_drug2group_diff	within_drug1group_and_drug2group_diff
38	E. coli	stool	1401	1411	171	0	2	15	0	0	0	0	0	0
38	E. coli	blood	1401	1411	314	0	0	18	0	0	0	0	0	0
38	E. coli	spinal	1401	1411	2	0	0	0	0	0	1	0	0	0
1	E. coli	respiratory	1401	1411	2331	0	0	21	2	1	54	0	0	0
1	E. coli	urine	1401	1411	6650	0	1	4	2	1	112	0	0	0
1	E. coli	stool	1401	1411	1986	0	4	1	1	1	34	0	0	0
1	E. coli	blood	1401	1411	1344	0	0	0	0	1	31	0	0	0
1	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
23	E. coli	respiratory	1401	1411	515	0	1	0	1	0	0	0	0	0
23	E. coli	urine	1401	1411	1834	0	0	0	18	0	1	0	0	0
23	E. coli	stool	1401	1411	585	0	1	0	6	1	0	0	0	0
23	E. coli	blood	1401	1411	348	0	0	0	1	0	0	0	0	0
23	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
36	E. coli	respiratory	1401	1411	289	0	0	21	0	0	0	0	0	0
36	E. coli	urine	1401	1411	1019	0	0	73	0	1	1	0	0	0
36	E. coli	stool	1401	1411	71	0	0	1	0	0	1	0	0	0
36	E. coli	blood	1401	1411	235	0	0	11	0	0	0	0	0	0
36	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
22	E. coli	respiratory	1401	1411	399	0	0	82	0	0	3	0	0	0
22	E. coli	urine	1401	1411	1882	0	1	416	1	2	15	0	0	0
22	E. coli	stool	1401	1411	146	0	0	17	0	0	3	0	0	0
22	E. coli	blood	1401	1411	294	0	0	33	0	0	3	0	0	0
22	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
33	E. coli	respiratory	1401	1411	2400	0	1	40	15	0	5	0	0	0
33	E. coli	urine	1401	1411	8574	0	0	117	33	4	19	0	0	0
33	E. coli	stool	1401	1411	1331	0	0	7	23	0	5	0	0	0
33	E. coli	blood	1401	1411	1507	0	0	63	3	0	1	0	0	0
33	E. coli	spinal	1401	1411	7	0	0	0	0	0	0	0	0	0
13	E. coli	respiratory	1401	1411	1199	0	0	27	5	2	4	0	0	0
13	E. coli	urine	1401	1411	4825	0	0	91	27	0	10	0	0	0
13	E. coli	stool	1401	1411	197	0	1	0	1	2	5	0	0	0
13	E. coli	blood	1401	1411	813	0	0	13	0	3	3	0	0	0
13	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
28	E. coli	respiratory	1401	1411	134	0	0	18	1	0	0	0	0	0
28	E. coli	urine	1401	1411	456	0	0	74	1	0	0	0	0	0
28	E. coli	stool	1401	1411	15	0	0	3	1	0	0	0	0	0
28	E. coli	blood	1401	1411	64	0	0	8	0	1	0	0	0	0
28	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
44	E. coli	respiratory	1401	1411	210	0	0	1	1	0	0	0	0	0
44	E. coli	urine	1401	1411	809	0	0	10	1	1	0	0	0	0
44	E. coli	stool	1401	1411	190	0	1	0	1	0	0	0	0	0
44	E. coli	blood	1401	1411	115	0	0	3	0	0	0	0	0	0
44	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
42	E. coli	respiratory	1401	1411	170	0	0	0	0	0	0	0	0	0
42	E. coli	urine	1401	1411	568	0	0	0	0	2	1	0	0	0
42	E. coli	stool	1401	1411	9	0	0	0	0	0	0	0	0	0
42	E. coli	blood	1401	1411	118	0	0	0	0	0	0	0	0	0
42	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
37	E. coli	respiratory	1401	1411	292	0	0	0	0	1	0	0	0	0
37	E. coli	urine	1401	1411	991	0	0	0	0	0	0	0	0	0
37	E. coli	stool	1401	1411	130	0	0	0	0	0	0	0	0	0
37	E. coli	blood	1401	1411	121	0	0	0	0	0	0	0	0	0
