prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
36	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
22	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	206	147
22	E. coli	urine	1401	1411	1266	1	0	1	0	0	1	786	988
22	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	70	72
22	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	123	148
22	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
33	E. coli	respiratory	1401	1411	1266	1	0	0	0	6	9	1364	918
33	E. coli	urine	1401	1411	1266	0	0	4	0	23	10	4210	3923
33	E. coli	stool	1401	1411	1266	0	0	0	0	13	10	643	634
33	E. coli	blood	1401	1411	1266	0	0	0	0	3	0	663	749
33	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	5	2
13	E. coli	respiratory	1401	1411	1266	0	0	2	0	2	0	649	492
13	E. coli	urine	1401	1411	1266	0	0	0	0	22	1	2330	2284
13	E. coli	stool	1401	1411	1266	1	0	2	0	0	1	106	80
13	E. coli	blood	1401	1411	1266	0	0	2	1	0	0	405	357
13	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	1
28	E. coli	respiratory	1401	1411	1266	0	0	0	0	1	0	96	33
28	E. coli	urine	1401	1411	1266	0	0	0	0	1	0	226	219
28	E. coli	stool	1401	1411	1266	0	0	0	0	1	0	7	7
28	E. coli	blood	1401	1411	1266	0	0	1	0	0	0	30	34
28	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	1	0
44	E. coli	respiratory	1401	1411	1266	0	0	0	0	1	0	99	86
44	E. coli	urine	1401	1411	1266	0	0	0	1	1	0	277	436
44	E. coli	stool	1401	1411	1266	1	0	0	0	1	0	139	41
44	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	28	61
44	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
42	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	95	72
42	E. coli	urine	1401	1411	1266	0	0	0	2	0	0	251	303
42	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	0	9
42	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	54	62
42	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
37	E. coli	respiratory	1401	1411	1266	0	0	1	0	0	0	175	105
37	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	469	492
37	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	73	54
37	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	50	67
37	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	1	0
31	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	358	202
31	E. coli	urine	1401	1411	1266	1	0	0	0	1	1	953	768
31	E. coli	stool	1401	1411	1266	0	0	0	0	4	0	351	252
31	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	96	140
31	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	1
11	E. coli	respiratory	1401	1411	1266	2	0	0	0	1	0	385	243
11	E. coli	urine	1401	1411	1266	0	0	2	0	2	2	1295	1242
11	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	92	130
11	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	168	208
11	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	1	0
46	E. coli	respiratory	1401	1411	1266	0	0	1	0	2	0	329	290
46	E. coli	urine	1401	1411	1266	1	0	0	0	0	0	899	1014
46	E. coli	stool	1401	1411	1266	0	0	0	0	3	0	201	323
46	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	74	110
46	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
40	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	137	122
40	E. coli	urine	1401	1411	1266	0	0	0	1	0	0	267	261
40	E. coli	stool	1401	1411	1266	1	0	0	1	0	0	140	154
40	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	36	51
40	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
17	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	200	108
17	E. coli	urine	1401	1411	1266	1	0	0	0	0	0	446	395
17	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	158	250
17	E. coli	blood	1401	1411	1266	0	0	0	1	0	0	82	59
17	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
5	E. coli	respiratory	1401	1411	1266	1	0	0	0	0	0	160	147
5	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	386	436
5	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	68	74
5	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	93	113
5	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
20	E. coli	respiratory	1401	1411	1266	0	0	0	0	10	0	125	110
20	E. coli	urine	1401	1411	1266	0	0	0	0	7	0	410	412
20	E. coli	stool	1401	1411	1266	0	0	0	0	1	0	92	94
20	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	54	83
20	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
7	E. coli	respiratory	1401	1411	1266	2	0	0	0	0	0	1236	732
7	E. coli	urine	1401	1411	1266	1	0	0	1	0	0	2878	2509
