prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
40	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	2	273
40	E. coli	urine	1401	1411	2601	0	0	0	1	0	0	4	558
40	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	2	230
40	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	2	82
40	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
17	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	3	354
17	E. coli	urine	1401	1411	2601	0	0	0	1	0	1	11	1110
17	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	4	577
17	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	2	168
17	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
5	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	2	225
5	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	5	691
5	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	162
5	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	1	144
5	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
20	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	2	0	127
20	E. coli	urine	1401	1411	2601	0	0	0	0	0	3	8	680
20	E. coli	stool	1401	1411	2601	0	0	0	0	0	2	0	36
20	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	73
20	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
7	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	1	1	1755
7	E. coli	urine	1401	1411	2601	0	0	0	0	0	1	9	4739
7	E. coli	stool	1401	1411	2601	0	0	0	2	0	1	4	1489
7	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	4	619
7	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	4
34	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	176
34	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	4	519
34	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	65
34	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	49
34	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
27	E. coli	respiratory	1401	1411	2601	0	1	0	0	0	0	0	150
27	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	0	610
27	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	61
27	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	103
27	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
21	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	5	400
21	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	17	1629
21	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	6	186
21	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	156
21	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
30	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	278
30	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	0	770
30	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	54
30	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	104
30	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
25	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	144
25	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	1	487
25	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	86
25	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	44
25	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
18	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	300
18	E. coli	urine	1401	1411	2601	0	0	0	1	0	0	7	969
18	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	1	200
18	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	1	229
18	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
32	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	2	253
32	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	9	1262
32	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	2	113
32	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	2	171
32	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
12	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	7	29	1167
12	K. pneumoniae	urine	1401	1411	2601	0	1	0	0	0	0	23	721
12	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	3	127
12	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	9	201
12	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	2
3	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	15	484
3	K. pneumoniae	urine	1401	1411	2601	0	0	0	1	0	0	14	287
3	K. pneumoniae	stool	1401	1411	2601	0	1	0	0	0	0	1	48
3	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	1	73
3	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	3
16	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	13	570
16	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	0	1	153
16	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	8
16	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	0	79
16	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
24	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	20	421
24	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	0	8	212
24	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	184
24	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	1	68
24	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
2	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	8	383
2	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	0	5	258
2	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	4
2	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	1	69
2	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
45	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	19	362
45	K. pneumoniae	urine	1401	1411	2601	0	2	0	0	0	0	9	148
45	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	20
45	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	1	0	41
45	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
